PCA,CLUSTERING,K,DISTANCE/WSS,TRAIN_TIME,TEST_TIME,PRECISION,RECALL,ACCURACY
139,kmcuda,55,47.07912826538086,3.5767807960510254,48.072715759277344,18.76633559853633,25.052626556808473,60.358947551838305
139,kmcuda,56,47.054954528808594,3.365877866744995,47.26327180862427,19.13225300575013,25.088443869154798,60.18470116745077
139,kmcuda,57,47.013153076171875,3.5740957260131836,46.42777490615845,18.76633559853633,25.17635531880174,59.95818086774699
139,kmcuda,58,46.98426055908203,3.480682611465454,47.40911531448364,18.731486321658824,25.29811343716205,60.46349538247081
139,kmcuda,59,46.95695114135742,3.4407408237457275,45.343297481536865,18.731486321658824,25.10532225900757,59.71423592960446
139,kmcuda,60,46.90979766845703,3.489861488342285,44.204444885253906,19.48074577452518,25.114041492766003,59.888482313991986
139,kmcuda,61,46.88037872314453,3.423022985458374,43.2437162399292,18.99285589824011,25.213216726546573,60.44607074403206
139,kmcuda,62,46.84182357788086,3.7147395610809326,43.66820573806763,19.358773305453912,25.211806160577723,60.254399721205786
139,kmcuda,63,46.77568817138672,4.361151218414307,44.58696889877319,19.010280536678863,25.003747680172143,59.888482313991986
139,kmcuda,64,46.756874084472656,3.622251510620117,42.1797080039978,18.940581982923852,25.130781591837525,59.59226346053319
139,kmcuda,65,46.70162582397461,4.172289609909058,42.924983978271484,19.49817041296393,25.117388129672495,59.87105767555323
139,kmcuda,66,46.681705474853516,3.9083125591278076,42.05999803543091,19.533019689841435,24.95820161136418,59.679386652726954
139,kmcuda,67,46.65004348754883,3.850841522216797,43.07566213607788,19.63756752047395,25.128693401040497,59.749085206481965
139,kmcuda,68,46.61793899536133,3.8136165142059326,42.58986520767212,19.77696462798397,25.217890954953166,59.975605506185744
139,kmcuda,69,46.59527587890625,4.033280611038208,40.05838084220886,19.358773305453912,25.157845097730096,59.92333159086949
139,kmcuda,70,46.57122802734375,3.8329174518585205,38.39304304122925,19.463321136086424,24.95480657268425,59.31346924551315
139,kmcuda,71,46.543006896972656,3.8970625400543213,38.69723176956177,19.724690712667712,25.213624684351288,60.08015333681826
139,kmcuda,72,46.50470733642578,3.919304847717285,39.71816897392273,19.829238543300225,25.068025235301768,60.08015333681826
139,kmcuda,73,46.48146057128906,3.8680641651153564,37.90825176239014,20.055758843004007,25.07957251553697,59.975605506185744
139,kmcuda,74,46.46192932128906,3.725886583328247,38.815104484558105,19.91636173549399,24.998624006726462,59.679386652726954
139,kmcuda,75,46.43857192993164,3.9612503051757812,37.268901348114014,19.968635650810246,24.885294711483944,59.80135912179823
139,kmcuda,76,46.41179656982422,3.9319090843200684,36.784422636032104,19.968635650810246,24.838206700464934,59.95818086774699
139,kmcuda,77,46.35862731933594,4.28627872467041,36.20860290527344,19.533019689841435,24.86615526735757,59.888482313991986
139,kmcuda,78,46.34724044799805,4.084652662277222,36.34411692619324,19.63756752047395,24.83626371498823,59.627112737410705
139,kmcuda,79,46.31989288330078,3.974139451980591,38.2278094291687,19.84666318173898,25.062873903699835,59.69681129116571
139,kmcuda,80,46.29889678955078,4.003012418746948,38.05723738670349,20.038334204565256,25.043478621628125,59.71423592960446
139,kmcuda,81,46.276283264160156,4.378079891204834,37.96919345855713,20.142882035197772,25.04976393763639,59.679386652726954
139,kmcuda,82,46.2363166809082,4.525493860244751,35.50268840789795,19.689841435790207,25.514932638560445,60.23697508276703
139,kmcuda,83,46.22309875488281,4.141662359237671,34.06616759300232,20.264854504269035,25.395829703200324,60.60289248998083
139,kmcuda,84,46.21245574951172,4.05164647102356,33.319910764694214,20.334553058024046,25.51417895380258,60.44607074403206
139,kmcuda,85,46.18937683105469,4.033055543899536,34.11977553367615,20.282279142707786,25.180649247559856,59.94075622930824
139,kmcuda,86,46.154579162597656,3.8192691802978516,32.666030406951904,20.0209095661265,25.33057719806282,60.02787942150201
139,kmcuda,87,46.14753341674805,3.4419138431549072,32.274603843688965,20.055758843004007,24.94231891513648,59.80135912179823
139,kmcuda,88,46.1147575378418,3.679943084716797,32.54129719734192,20.386826973340302,24.905554310938527,59.69681129116571
139,kmcuda,89,46.09352493286133,3.8302900791168213,31.742652416229248,20.473950165534067,25.146429193737085,59.66196201428821
139,kmcuda,90,46.069786071777344,3.4701948165893555,31.359389781951904,20.526224080850323,25.06058519126998,59.40059243770692
139,kmcuda,91,46.04518127441406,3.684020519256592,31.415659189224243,20.613347273044084,25.158557295253587,59.749085206481965
139,kmcuda,92,46.0182991027832,3.7117745876312256,32.06172060966492,20.787593657431607,25.11522387894578,59.55741418365569
139,kmcuda,93,46.0046272277832,3.7081196308135986,30.36350989341736,20.839867572747867,25.42271343107726,60.42864610559331
139,kmcuda,94,45.99012756347656,3.6304097175598145,30.182517290115356,20.526224080850323,25.05270953127723,60.045304059940754
